S.NO,CAT,COHORT,COURSE CODE,COURSE TITLE,SEM
1,BSC,M48,22PH1005,ENGINEERING PHYSICS,ODD
2,BSC,E11,24AD3107,DATA SCIENCE,ODD
3,PCC,E06,24CS3206,THEORY OF COMPUTATION,ODD
4,FCC,E17,24CS2221F,UX DESIGN,ODD
5,FCC,E09,24CS2224F,CRYPT ANALYSIS AND CYBER DEFENCE,ODD
6,FCC,E11,24CS2227F,DATA ANALYTICS AND VISUALIZATION,ODD
7,FCC,E02,24CS2237F,QUANTUM COMPUTING,ODD
8,FCC,E27,24CS2239F,SOFTWARE VERIFICATION AND VALIDATION,ODD
9,FCC,E02,24CS2250F,HUMAN COMPUTER INTERACTION,ODD
10,FCC,E06,24CS2251F,PRINCIPLES OF PROGRAMMING LANGUAGES,ODD
11,FCC,E05,24CS2252F,SYSTEM PROGRAMMING,ODD
12,FCC,E05,24CS2253F,PARALLEL AND DISTRIBUTED COMPUTING,ODD
13,FCC,E05,24CS2254F,HIGH PERFORMANCE COMPUTING,ODD
14,FCC,E06,24CS2255F,ADVANCED DATA STRUCTURES,ODD
15,FCC,E22,24EC2223F,FUNDAMENTALS OF ROBOTICS,ODD
16,FCC,E13,24EC2224F,DEEP NETWORK ARCHITECTURES,ODD
17,FCC,E26,24EE2230F,ESSENTIALS OF AUTONOMOUS SYSTEMS,ODD
18,PEC-1,E02,24AAS3102,AI AND CONTROLS FOR AUTONOMOUS FUTURE TRANSPORT,ODD
19,PEC-1,E02,24ACI3101,GENERATIVE ADVERSARIAL NETWORKS,ODD
20,PEC-1,E02,24AVI3102,AI DRIVEN VIDEO PROCESSING,ODD
21,PEC-1,E02,24ALT3101,APPLIED MACHINE LEARNING FOR TEXT ANALYSIS,ODD
22,PEC-1,E02,24ALT3108,MULTIMODEL INFORMATION PROCESSING,ODD
23,PEC-1,E09,24BEW3101,"INTRODUCTION TO BLOCKCHAIN TECHNOLOGY,CRYPTOCURRENCIES AND TOKENS",ODD
24,PEC-1,E05,24CEC3101,CLOUD INFRASTRUCTURE AND SERVICES,ODD
25,PEC-1,E05,24CID3101,CLOUD INFRASTRUCTURE ENGINEERING,ODD
26,PEC-1,E05,24CND3101,CLOUD-NATIVE APPLICATION DEVELOPMENT & CONTAINER ORCHESTRATION (CNAD),ODD
27,PEC-1,E09,24CSB3101,CRYPT ANALYSIS AND CYBER DEFENCE,ODD
28,PEC-1,E11,24DEA3101,FUNDAMENTALS OF DATA ENGINEERING,ODD
29,PEC-1,E11,24DSB3101,DATA ANALYTICS AND VISUALIZATION,ODD
30,PEC-1,E17,24GDU3101,PROGRAMMING FOR GAME DEVELOPMENT,ODD
31,PEC-1,E02,24GMI3101,PRINCIPLES OF DEEP NEURAL COMPUTATION,ODD
32,PEC-1,E02,24QTS3101,"QUANTUM COMPUTATION : CIRCUITS, ALGORITHMS & FAULT TOLERANCE",ODD
33,PEC-1,E22,24RAN3102,ADVANCED ROBOTICS,ODD
34,SDC,E16,24SDCS03,SOA PROGRAMMING AND MICROSERVICES,ODD
35,HFC,E05,24IN3103,REAL-TIME OPERATING SYSTEMS,ODD
36,HFC,E02,24AD3105,DEEP LEARNING,ODD
37,HRC,555,24IE03RF,RESEARCH SEMINAR,ODD
38,HIC,999,24DT03IF,PRODUCT DESIGN AND PROTOTYPE VALIDATION,ODD
39,HEC,E17,24CS03EF,VISUAL PROGRAMMING,ODD
40,HEC,E02,24CS07EF,AUTONOMOUS PLANNING AND NAVIGATION,ODD
41,BSC,M49,23CY1001,ENGINEERING CHEMISTRY,EVEN
42,BSC,E02,24CS3207,QUANTUM COMPUTING,EVEN
43,PCC,E09,24CS3105,INFORMATION ASSURANCE AND SECURITY,EVEN
44,PCC,E27,24CI3201,ADAPTIVE SOFTWARE ENGINEERING,EVEN
45,SDC,E16,24SDCS04,WEB3 WITH BLOCKCHAIN,EVEN
46,HFC,E12,24CS01HF,EMBEDDED SOFTWARE DEVELOPMENT,EVEN
47,HFC,E02,24AD10HF,NATURAL LANGUAGE PROCESSING & LLMS,EVEN
48,HRC,555,24IE04RF,TERM PAPER,EVEN
49,HIC,999,24DT04IF,SCALABLE SOLUTION DEVELOPMENT,EVEN
50,HEC,E16,24CS04EF,MOBILE APPLICATION DEVELOPMENT,EVEN
51,HEC,E02,24CS09EF,VEHICULAR NETWORKS AND SECURE COMMUNICATION,EVEN
52,PE-2,E02,23AAS3202,INTRODUCTION TO INTELLIGENT DRONES,EVEN
53,PE-2,E02,23AAS3203,AI AND IOT FOR AUTONOMOUS VEHICLE,EVEN
54,PE-2,E26,23AAS3205,AUTONOMOUS VEHICLE ECU DESIGN WITH AUTOSAR,EVEN
55,PE-2,E02,23ACI3202,EXPLAINABLE AI AND COMMUNICATIONS,EVEN
56,PE-2,E02,23AVI3202,COMPUTER VISION,EVEN
57,PE-2,E02,23ALT3202,DEEP LEARNING FOR NATURAL LANGUAGE PROCESSING,EVEN
58,PE-2,E09,23BEW3202,SMART CONTRACTS,EVEN
59,PE-2,E05,23CEC3202,ADVANCED OPERATING SYSTEMS,EVEN
60,PE-2,E05,23CEC3203,FUNCTIONAL & CONCURRENT PROGRAMMING,EVEN
61,PE-2,E05,23CEC3204,CLOUD DEVOPS,EVEN
62,PE-2,E05,23CID3202,"ENTERPRISE CLOUD COMPUTING: TECHNOLOGY, ARCHITECTURE, APPLICATIONS",EVEN
63,PE-2,E05,23CID3203,ARCHITECTING HIGHLY AVAILABLE AND SCALABLE CLOUD ENVIRONMENTS,EVEN
64,PE-2,E09,23CSB3202,NETWORK AND INFRASTRUCTURE SECURITY,EVEN
65,PE-2,E09,23CSB3203,INTRODUCTION TO BLOCKCHAIN AND CRYPTO CURRENCIES,EVEN
66,PE-2,E11,23DEA3202,DATA EXPLORATION AND PREPARATION,EVEN
67,PE-2,E11,23DSB3202,DATA WAREHOUSING AND MINING,EVEN
68,PE-2,E17,23GDU3202,UX DESIGN,EVEN
69,PE-2,E22,23AN3202,AUTONOMOUS VEHICLES & AUTOMOTIVE ELECTRONICS,EVEN
70,PE-2,E22,23AN3203,ROBOT MANIPULATION AND WHEELED MOBILE ROBOTS,EVEN
71,PE-2,E02,25GMI3202,ENGINEERING LARGE LANGUAGE MODEL SYSTEMS,EVEN
72,PE-2,E02,25QTS3202,QUANTUM CRYPTOGRAPHY & QUANTUM COMMUNICATION,EVEN
73,PE-3,E02,23AAS3304,APPLIED DEEP LEARNING FOR AUTONOMOUS SYSTEMS,EVEN
74,PE-3,E26,23AAS3309,AUTONOMOUS ELECTRIC MOBILITY - SYSTEMS AND APPLICATIONS,EVEN
75,PE-3,E02,23ACI3303,FUZZY LOGIC WITH SET THEORY,EVEN
76,PE-3,E02,23AVI3303,OBJECT DETECTION,EVEN
77,PE-3,E02,23ALT3303,CONVERSATIONAL AI AND CHATBOT DEVELOPMENT,EVEN
78,PE-3,E09,23BEW3303,DECENTRALIZED APPLICATIONS AND DECENTRALIZED WEB,EVEN
79,PE-3,E05,23CEC3305,CLOUD & SERVERLESS COMPUTING,EVEN
80,PE-3,E05,23CID3304,CLOUD INFRASTRUCTURE ARCHITECTURE AND ENGINEERING,EVEN
81,PE-3,E09,23CSB3304,DIGITAL FORENSICS,EVEN
82,PE-3,E11,23DEA3303,BIG DATA TECHNOLOGIES,EVEN
83,PE-3,E11,23DSB3303,BIG DATA ANALYTICS,EVEN
84,PE-3,E17,23GDU3303,AR & VR APPLICATION DEVELOPMENT,EVEN
85,PE-3,E22,23AN3304,ADVANCED ROBOTICS,EVEN
86,PE-3,E02,25GMI3303,REINFORCEMENT LEARNING,EVEN
87,PE-3,E02,25QTS3303,QUANTUM SENSING & METROLOGY,EVEN
